"","DER_pval","Exon_pval","Junction_pval","Transcript_pval","DER_or","Exon_or","Junction_or","Transcript_or"
"cdDMRs_pval",2.36833039249761e-17,1.91639842475729e-16,5.91020037817546e-40,2.07550727510755e-30,1.68300863851215,1.62626518218623,1.98665208541028,2.27142002182866
"1:G-N+",7.85434325926571e-09,5.03133084116612e-12,2.03093471451033e-13,3.33942296560225e-16,1.91095617170295,2.06046860796555,2.05066337771817,2.72527786284868
"2:G0N+",0.00126641324790502,7.77858406889683e-06,0.000291476954525942,3.68985610844644e-05,1.55245986142084,1.74314955430835,1.54192245583755,1.93404974876365
"3:G0N-",1.74313950285951e-05,0.000989455955223063,7.74910272120865e-23,2.64163363052255e-13,1.67811775742192,1.48606004901961,2.53800660805994,2.56541780750702
"4:G+N0",0.1020436488351,0.222206442387596,0.287551983878175,0.014882465128797,1.47951450820029,1.34179157414261,1.27090668316884,1.93909697436729
"5:G+N-",0.000601815651167358,0.0800972790895411,5.43837169720833e-11,0.000370885232476139,1.82417541897381,1.39101208525599,2.51872006890612,2.1140979647673
"6:G-N0",2.84366871692289e-08,2.18292677596604e-05,6.1730854332535e-17,1.16200383302723e-14,1.82035258970508,1.58349720454984,2.14579814088051,2.52588524756493
